"home_player_1","home_player_2","home_player_3","home_player_4","home_player_5","home_player_6","home_player_7","home_player_8","home_player_9","home_player_10","home_player_11","away_player_1","away_player_2","away_player_3","away_player_4","away_player_5","away_player_6","away_player_7","away_player_8","away_player_9","away_player_10","away_player_11"
30726,30362,30620,30865,32569,24148,34944,30373,24154,24157,30829,24224,25518,24228,30929,29581,38807,40565,30360,33852,34574,37799
23686,26111,38835,30986,31291,31013,30935,39297,26181,30960,36410,36373,36832,23115,37280,24728,24664,31088,23257,24171,25922,27267
32562,38836,24446,24408,36786,38802,24655,17866,30352,23927,24410,30660,37442,30617,24134,414792,37139,30618,40701,24800,24635,30853
36374,30966,23818,37277,30687,36394,37169,24223,24773,34543,23139,34421,34987,35472,111865,25005,35327,25150,97988,41877,127857,34466
30380,30357,24658,43280,23282,38609,24780,23782,23354,23264,26165,31432,46403,24208,23939,33963,47413,40198,42119,NA,33633,107216
31465,30371,24004,33086,30857,24011,109058,23268,24846,24006,24160,30622,37764,19020,23921,24136,30342,23889,23916,23922,34176,30646
35442,24166,24167,38899,24161,24753,97932,24393,30892,35608,42183,30455,34182,38697,24531,40006,30895,30818,31097,23760,41157,23949
23932,26454,23783,24336,23785,23931,23933,35532,24372,23934,34261,23794,23369,34214,40695,40574,25668,23333,23253,23072,23288,23314
23021,34430,34275,24509,23022,23438,23023,30595,23025,39073,23352,30633,37266,26777,23780,24781,24020,30338,24843,24737,34248,24741
30859,25925,30911,30627,38834,30631,32345,30699,30686,30630,37804,36286,34036,34418,24216,23953,25517,23988,26108,38820,30348,30830
35906,38994,30620,30865,32569,30893,24148,40961,40945,38817,27430,36374,36394,24751,23818,26348,30966,24747,33049,27665,33781,24773
23686,26111,38835,30616,31291,31013,30613,39297,26181,30843,30960,30455,32870,46403,38697,40006,23760,31097,30818,24656,31921,40755
22978,24166,24163,24167,24161,24753,24393,33128,30892,42183,35608,31432,23939,24208,24211,24209,39027,30367,24213,40198,33974,51553
23932,26454,23783,24336,23785,37996,23933,35532,24372,23934,34261,31465,30371,24004,23268,33086,24011,39618,24006,36012,24160,30735
23021,40132,26066,34275,23022,34437,23023,30595,39073,23352,26143,30859,25925,30911,30627,38834,32345,30631,30686,30630,30679,37804
23794,40574,40005,40695,35467,22994,23333,24133,25668,23314,38755,24527,36786,24740,24408,43259,38802,24411,NA,30352,23927,33418
30660,37442,24134,30617,34222,34601,30889,95327,30915,30618,37139,36286,24630,26108,24216,40987,25543,24653,25517,23988,63520,30830
30380,30357,43280,33863,23282,38807,38609,23782,24780,23354,23264,30622,49571,19020,23921,37764,30842,38711,24136,23916,NA,34947
24224,25518,24228,30929,37475,33852,40565,24205,34574,37799,24225,36373,31731,42594,26527,24728,40055,24664,38433,24171,23257,32570
30633,37266,23780,26777,24781,24020,24843,30338,24737,31907,24741,34421,35472,25005,111865,97988,25150,38816,34987,35327,34466,127857
30726,30615,30620,30865,32569,30893,34944,40961,40945,27430,30829,23021,40132,26066,34275,23022,34437,23946,30595,39073,23352,26143
30455,46403,30354,38697,40006,23760,34182,24656,25421,31097,23949,30660,37442,30617,25984,414792,37139,30618,38818,30889,37920,24635
31465,30371,24004,23268,33086,36012,24006,39618,24011,30876,24160,30633,37266,23780,26777,24781,24020,24843,30338,24737,24741,31907
22978,24166,24163,24167,24161,24753,24393,33128,30892,42183,35608,36374,30687,24751,23818,26348,36394,109898,24747,30734,33781,118390
24224,25518,24228,30929,37475,33852,24205,30360,34574,37799,24225,30380,30357,33863,43280,23282,38807,24780,23782,23354,26165,23264
23932,26454,23783,24336,23785,23784,23933,35532,37996,23934,24372,31432,30509,24211,23939,24208,24213,39027,40198,30367,107216,33974
36373,31731,42594,26527,24728,24171,24664,40055,38433,32570,27267,30622,49571,19020,23921,25667,30842,38711,30849,24136,34176,34947
36286,34036,24216,34418,40987,25517,23988,24653,63520,30830,30348,34421,34987,24230,35472,111865,35327,97988,25150,24663,34466,127857
23794,40574,40005,40695,35467,35636,23333,24133,25668,38755,23314,23686,26111,30831,30616,31291,39297,30613,23678,27277,30960,36410
30859,25925,26564,30627,38834,30686,32345,30631,30630,37804,30679,24527,38836,24446,24740,43259,38802,24411,24655,30352,109434,30988
23686,26111,38835,30616,31291,31013,30613,39297,26181,27277,36410,30726,30615,30620,30865,32569,30893,40961,34944,30802,30829,27430
30660,37442,30617,25984,34222,24800,38818,30618,37920,37139,24635,36373,31731,42594,26527,24728,40055,38433,24664,31088,32570,27267
24527,36786,24740,24446,24408,38802,24411,17866,30352,33418,24410,36286,34036,24216,34418,24630,38820,24653,23988,40987,30830,30348
36374,30687,24751,23818,26348,36394,24223,33049,30734,33781,118390,31465,30371,24004,23268,33086,24011,30876,109058,24006,30735,25666
30380,33863,24658,43280,23282,24780,23782,23283,38807,23264,23354,22978,33754,24163,24167,24161,24753,24393,33128,30892,42183,35608
31432,30509,24208,24211,33963,30367,24213,42119,30340,33974,25342,30455,46403,38697,30354,40006,23760,24656,34182,30818,31097,23949
30622,49571,35506,23921,25667,30849,24136,NA,38711,23916,34176,30859,25925,26564,30627,30635,30631,32345,30686,31906,37804,30679
30633,37266,23780,26777,24781,24020,24843,30338,24737,24741,31907,24224,25518,30929,26161,37475,33852,30360,24205,34574,37799,24225
23021,40132,34275,26066,23022,34437,23023,30595,39073,23352,26143,23932,26454,23783,24336,23785,23934,23784,35532,24372,23937,34261
34421,34987,24230,35472,111865,35327,97988,25150,24663,34466,127857,23794,40574,40005,40695,35467,24133,23333,35636,25668,38755,23314
30726,24150,30865,43248,32569,30893,34944,24148,30802,38817,27430,23794,40574,40005,40695,35467,23333,24133,35636,25668,38755,23314
23686,26111,38835,30616,31291,31013,30613,39297,26181,27277,36410,30380,33863,43280,24658,30357,23354,23283,38609,23782,38807,23264
36374,30687,24751,23818,26348,30966,24223,109898,118390,34543,33781,36286,34036,26108,24216,24630,25517,24653,23988,40987,30830,30348
31465,30371,24004,23268,33086,24011,39618,30876,24006,24160,30735,22978,33754,24163,24167,24161,24393,33128,35544,30892,35608,42183
24224,25518,26209,30929,37475,33852,24205,30360,34574,24225,37799,34421,35472,24230,25005,111865,35327,25150,97988,24890,41877,24841
30622,37764,19020,35506,24136,49571,38711,23889,23916,30646,34176,24527,36786,24740,24446,24408,24655,24411,30352,38802,33418,30988
30633,37266,23780,26777,24781,30956,30338,24843,24020,31907,24741,30455,46403,38697,30354,31921,23760,34182,24656,30818,31097,23949
23932,26454,23783,24336,23785,24372,23933,35532,23784,34261,23934,30660,30617,24134,25984,34222,30889,38818,37139,30618,37920,24635
36373,31731,37280,26527,24728,40055,24171,24664,38433,32570,27267,23984,25925,31306,30627,30635,30631,32345,30686,31906,37804,30679
23021,40132,34275,26066,34430,30595,23023,34437,39073,26143,23352,31432,30509,24208,23939,33963,30367,39027,24213,30340,25342,33974
30660,37442,30617,25984,34222,37139,95327,38818,37920,24635,30853,30633,37266,23780,26777,24781,24020,30338,24843,30956,31907,24741
24527,36786,24446,24740,24408,38802,24411,30352,17866,30988,33418,36374,30687,24751,23818,26348,36394,24223,33049,30966,34543,33781
30455,46403,38697,30354,40006,30895,30818,24656,23760,40755,23949,30622,37764,19020,23921,25667,30842,38711,23889,23916,34947,30646
30380,24780,24658,43280,30357,38609,23283,23782,38807,23264,23354,30726,24150,30620,30865,32569,30893,34944,24154,30802,38817,30829
22978,33754,24166,24167,24161,24753,33128,24393,30892,35608,42183,23932,26454,23783,24336,23785,23934,23784,35532,23933,24372,34261
31432,30509,24208,24211,33963,30367,24213,39027,30340,33974,25342,23686,105826,30986,30616,31291,26181,39297,23678,27277,30843,36410
36286,34036,26108,24216,24630,25517,24653,24373,40987,30830,25543,23021,40132,34275,26066,34430,34437,23023,30595,39073,23352,26143
23794,40574,40005,40695,35467,22994,35636,24133,25668,23288,23314,36373,31731,37280,26527,24728,24664,38433,31088,23257,40055,27267
34421,24890,24230,25005,111865,35327,24528,25150,97988,41877,34466,31465,30371,24004,23268,33086,30876,39618,24006,24011,30735,24160
30859,25925,31306,30627,38834,30631,32345,30686,30630,37804,30679,24224,25518,30929,26209,37475,33852,40565,30360,34574,37799,30619
30660,37442,30617,24134,414792,24800,30618,30889,37920,37139,24635,36374,30687,24751,23818,26348,36394,24223,24747,30966,33781,34543
32562,36786,24446,24408,38836,38802,24411,30352,17866,33418,30988,23932,26454,23783,24336,23785,23934,23933,35532,23784,24372,34261
30455,46403,38697,30354,40006,30895,34182,24656,23760,23949,40755,31465,30371,24004,23268,33086,24011,24006,30876,39618,36012,24160
30380,33863,43280,24658,30357,23283,38609,23782,38807,23264,23354,30633,37266,23780,26777,24781,24020,30338,24843,30956,31907,24741
22978,33754,24166,24167,24161,24753,35544,33128,30892,35608,42183,24224,25518,30929,26209,37475,33852,40565,30360,29581,37799,30619
31432,24208,39027,24211,33963,30367,24213,34299,30340,33974,25342,30726,38994,30620,30865,32569,30893,24148,34944,30802,30829,27430
36286,34036,24216,24630,40987,23285,25517,24373,63520,30830,30348,30622,37764,19020,23921,24136,30842,38711,23913,23916,34947,30646
23794,40574,40005,34214,35467,22994,35636,24133,25668,38755,23314,23021,40132,34275,26066,34430,34437,30595,23023,23025,39073,23352
34421,24890,24230,35472,111865,35327,24528,25150,97988,34466,24841,36373,31731,37280,26527,24728,24171,40055,24664,38433,23257,27267
30859,25925,31306,30627,38834,32345,30686,30699,30631,31906,37804,23686,26111,38835,30986,31291,39297,30613,23678,26181,30960,30843
30726,38994,30620,30865,32569,30802,24148,34944,30893,30829,27430,24527,38836,24740,24408,36786,24411,NA,17866,38802,33418,23927
23686,26111,30831,30986,31291,39297,30613,23678,26181,30843,30960,34421,34987,35472,24230,111865,35327,97988,25150,24890,34466,24841
36374,30687,24751,23818,26348,36394,24747,24223,30966,34543,33781,30455,46403,38697,30354,40006,23760,34182,30818,30895,31097,40755
31465,30371,24004,23268,33086,24006,39618,30876,24011,36012,25666,30380,33863,43280,24658,30357,23283,38609,23782,38807,23264,23354
24224,25518,30929,26209,37475,33852,23983,40565,29581,30619,37799,23794,40574,40005,23284,35467,25668,35636,24133,33941,23072,23314
30622,37764,19020,23921,24136,30842,38711,23913,23916,30646,23170,30660,37442,30617,24134,47547,24800,38818,30889,30915,30618,37139
30633,37266,23780,26777,24781,30956,30338,24843,24020,31907,24741,31432,30509,24211,23939,26436,34299,39027,24213,30367,30340,25342
23932,26454,23783,24336,23785,23934,23784,23933,35532,24372,34261,30859,25925,26564,30627,38834,32345,31906,30631,30699,30686,37804
36373,31731,37280,26527,24728,24171,38433,24664,40055,23257,27267,36286,34036,34418,24216,24630,38820,25517,24653,40987,30830,30348
23021,40132,34275,26066,34430,30595,23023,34437,23025,39073,23352,22978,33754,24166,24167,24161,24753,35544,33128,30892,42183,35608
30660,37442,24134,30617,414792,30889,38818,24800,37920,30618,37139,23021,40132,34275,26066,34430,32577,23023,30595,23025,39073,23352
24527,36786,24740,24446,24408,38802,24655,30352,17866,33418,30988,36373,31731,26527,37280,24728,24171,38433,40055,23257,24664,23788
30455,46403,24531,38697,40006,30895,34182,30818,23760,31097,40755,30726,38994,30620,30865,24150,30802,24148,34944,30893,27430,38817
30380,33863,43280,24658,30357,23283,38609,23782,38807,23264,23354,23932,26454,23783,24336,23785,23934,23933,23784,35532,24372,34261
22978,24162,24163,38899,24167,24159,33128,35544,30892,42183,24753,23686,26111,38835,30986,31291,39297,30613,23678,27277,30843,30960
31432,30509,24208,24211,26436,24213,39027,40198,30367,25342,33974,31465,30371,24004,23268,33086,24006,31070,24011,36012,39618,30876
36286,24630,34418,24216,40987,26324,24653,24373,38820,30830,30348,24224,25518,26209,30929,37475,33852,30360,40565,29581,37799,30619
23794,23369,40005,23284,35467,25668,35636,23253,33941,23314,38755,30633,37266,26777,23780,24781,24020,24843,30338,24737,30956,31907
34421,34987,24230,25005,111865,35327,25150,24528,24890,127857,34466,30622,37764,19020,23921,24136,30842,23913,38711,23916,30646,23170
30859,25925,26564,30627,38834,32345,30686,30699,30631,30630,37804,36374,30687,23818,37277,26348,109898,24223,37169,30966,33781,34543
30726,38994,30865,43248,24150,30893,30373,34944,40945,27430,30829,34421,34987,25005,24230,111865,35327,25150,97988,24890,127857,34466
23686,26111,38835,30986,31291,39297,30613,23678,26181,30960,30843,30660,37442,30617,25984,47547,30889,95327,37139,30618,37920,24635
36374,30687,23818,37277,26348,109898,37169,24223,30966,33781,34543,30380,33863,24658,43280,30357,38609,38807,23283,23782,23264,23354
31465,24023,24004,23268,33086,30371,24006,24011,39618,36012,30876,30859,25925,26564,30627,38834,32345,30630,30699,30631,30686,37804
24224,25518,26209,30929,37475,33852,40565,30360,29581,24225,30619,30455,46403,30354,24531,40006,23760,34182,24656,30895,31097,40755
30622,37764,19020,23921,24136,30842,30342,38711,23916,34947,34176,23307,40695,40005,23284,35467,25668,35636,23253,23072,33650,38755
30633,37266,23780,26777,24781,24020,24843,30338,24737,30956,31907,22978,24162,24163,38899,24167,24159,97932,35544,30892,24753,42183
23932,26454,23783,24336,23785,23934,23933,23784,24372,23937,34261,36286,24630,34418,24216,23953,25517,24653,24373,38820,30830,30348
36373,31731,37280,26527,24728,24171,31088,24664,40055,32570,23788,31432,30509,24208,24211,26436,42119,39027,24213,30367,25342,30340
23021,32577,34275,26066,34430,23438,23023,30595,39073,23025,23352,24527,36786,24446,24740,24408,38802,24655,30352,17866,33418,30988
30660,30617,24134,25984,47547,24800,30618,30889,37920,24635,37139,23932,26454,23783,24336,23785,35532,23933,23784,24372,23937,34261
24527,36786,24446,24740,24408,38802,24655,30352,17866,33418,30988,30622,37764,19020,23921,24136,30842,38711,30342,23916,34176,34947
30455,46403,24531,30354,40006,30895,34182,24656,23760,31097,23949,30633,37266,43247,23780,24781,30956,24843,30338,24020,31907,24741
30380,24780,24658,40128,30357,38807,23283,38609,23782,23354,23264,23686,26111,38835,30831,30616,30935,39297,23678,26181,27277,30843
22978,24162,24163,24167,24161,24753,24393,35544,30892,42183,38491,31465,24023,23268,33086,24846,24011,30371,39618,36012,46810,30876
31432,30509,24208,24211,26436,39027,40198,30367,24213,33974,41622,23021,32577,34275,26066,40132,34437,30595,23023,39073,23605,23352
36286,47418,34418,24216,40987,23285,24653,24373,38820,30830,30348,36374,30687,23818,37277,26348,109898,37169,24223,30966,33781,34543
